Брянская обл;г Брянск;53.2390,34.3236;г.Брянск, советский р-н, пр-т станке-димитрова. 64;ОАО Фабрика-кухня;3232007570;г.Брянск, советский р-н, пр-т станке-димитрова. 64;позиция 1;32:28:0032702:6;Тиханова Т.С.;1466;1;;;srednerusskiy
Брянская обл;г Брянск;53.2546,34.3483;Брянская обл., город Брянск, Советский район, улица Советская, 74;ООО УСК Надежда;3255512554;Брянская обл., город Брянск, Советский район, улица Советская, 74;д.74;4667219:01:51;Гурьева КА;1544;1;;;srednerusskiy
Брянская обл;г Брянск;53.2546,34.3483;Брянская обл., город Брянск, Советский район, улица Советская, 76;ООО УСК Надежда;3255512554;Брянская обл., город Брянск, Советский район, улица Советская, 76;д.76;4667219:01:53;Гурьева КА;1545;1;;;srednerusskiy
Брянская обл;г Брянск;53.2546,34.3483;Брянская обл., город Брянск, Советский район, улица Советская, 78;ООО УСК Надежда;3255512554;Брянская обл., город Брянск, Советский район, улица Советская, 78;д.78;4667219:01:52;Гурьева КА;1546;1;;;srednerusskiy
Брянская обл;г Брянск;53.2657,34.3558;Брянская область, г. Брянск, Советский район, улица Дуки, 59, СО Труд уч.9 и уч.11;ООО УСК Надежда;3255512554;Брянская область, г. Брянск, Советский район, улица Дуки, 59, СО «Труд» уч.9 и уч.11;32:28:0021201:44;Гурьева КА;;1540;1;;;srednerusskiy
Брянская обл;г Брянск;53.2671,34.3188;ЖК "Со тюльпан";ООО Светал;3233501238;Брянская обл., г. Брянск,Советский р-н, СО "Тюльпан";;32:2860030406:285;Гурьева КА;1477;1;;;srednerusskiy
Брянская обл;г Брянск;53.2945,34.3128;Брянская обл., г.Брянск, Бежицкий р-н, микрорайон "Московский";ООО Техномикс;3232016510;Брянская обл., г.Брянск, Бажицкий р-н, микрорайон "Московский";32:28:0015501:1501;Гурьева КА;;1475;1;;;srednerusskiy
Владимирская обл;г Владимир;56.104253,40.337537;г.Владимир, ул. Н.Дуброва, д.6;ООО Строй-Инвест;814165940;г.Владимир, ул. Н.Дуброва, д.6;д.6;33:22:011303:773;Гурьева КА;365;1;;;Volkov
Владимирская обл;г Владимир;56.105024,40.277062;ЖК "7 квартал";ООО ВТУС;3328422640;г.Владимир, мкр Юрьевец, д 11;д.11;33:22:00000:3922;Гурьева КА;1627;1;;;Volkov
Владимирская обл;г Владимир;56.105774,40.365221;ЖК "Орбита жилой дом № 18";ООО ИСК Строй-Капитал;3327824851;г. Владимир, ул. 3-я Кольцевая, д. 25А;д.25А;33:22:00000:101;Гурьева КА;1622;1;;;Volkov
Владимирская обл;г Владимир;56.106255,40.262939;ЖК "Владимирская область мкр юрьевец ул всесвятская д15а";ООО Владстрой;3328498713;Владимирская область мкр Юрьевец ул Всесвятская д15а;д.15а;33:22:000000:5070;Гурьева КА;1656;1;;;Volkov
Владимирская обл;п Боголюбово;56.205657,40.520407;Владимирская область, Суздальский р-н, пос. Боголюбово, пер. Песчаный, д.4;ООО СТК Стратегия;7715981347;Владимирская область, Суздальский р-н, пос. Боголюбово, пер. Песчаный, д.4;д.4;33:05:114101:520;Артемова О.А.;5613;1;;;Volkov
Владимирская обл;г Ковров;56.328079,41.318447;ЖК "Славный";ООО СК Континет;3305055169;г. Ковров, ул. Кабанова д.7;д.7;33:20:000000:2340;Гурьева КА;1594;1;;;Volkov
Владимирская обл;г Ковров;56.356812,41.321994;ЖК "Грибоедова";ООО СУ ДСК;3305050900;г.Ковров, ул. Грибоедова, д. 5/1;д.5/1;33:20:000000:12;Гурьева КА;1579;1;;;Volkov
Волгоградская обл;г Волгоград;48.627506,44.415747;ЖК "Колизей";ООО Стройсервис;2116499093;Волгоградская обл., г. Волгоград, Советсткий и Кировский район, ул. Санаторная, д.6;д.6;34:34:070001:1399;Гурьева КА;757;1;;;Filatova
Волгоградская обл;г Волгоград;48.659174,44.415851;ЖК "Родниковая долина";ООО Родниковая долина;3460057273;г. Волгоград, ул. Родниковая, 76, д. 11;д.11;34:34:060014:29;Гурьева КА;1769;1;;;Filatova
Волгоградская обл;г Волгоград;48.662336,44.409845;ЖК "Долина";ООО Родниковая долина;3460057273;Волгоградская обл, г. Волгоград, ул. Родниковая, 76, ж.д.№ 1;д.1;34:34:060014:29;Гурьева КА;1740;1;;;Filatova
